n_packets,node_id,node_addr,time,packet_size
318,2,10.1.2.2,0.315311,128
319,2,10.1.2.2,0.315603,128
320,2,10.1.2.2,0.317362,128
321,2,10.1.2.2,0.32094,128
322,2,10.1.2.2,0.322563,128
323,2,10.1.2.2,0.324519,128
324,2,10.1.2.2,0.324771,128
325,2,10.1.2.2,0.325102,128
326,2,10.1.2.2,0.326546,128
327,2,10.1.2.2,0.327706,128
328,2,10.1.2.2,0.329011,128
329,2,10.1.2.2,0.329497,128
330,2,10.1.2.2,0.329749,128
331,2,10.1.2.2,0.330518,128
332,2,10.1.2.2,0.330857,128
333,2,10.1.2.2,0.332249,128
334,2,10.1.2.2,0.332502,128
335,2,10.1.2.2,0.334542,128
336,2,10.1.2.2,0.334978,128
337,2,10.1.2.2,0.335231,128
338,2,10.1.2.2,0.335825,128
339,2,10.1.2.2,0.336099,128
340,2,10.1.2.2,0.337097,128
341,2,10.1.2.2,0.33737,128
342,2,10.1.2.2,0.337623,128
343,2,10.1.2.2,0.339832,128
344,2,10.1.2.2,0.341289,128
345,2,10.1.2.2,0.34171,128
346,2,10.1.2.2,0.343827,128
347,2,10.1.2.2,0.345204,128
348,2,10.1.2.2,0.345542,128
349,2,10.1.2.2,0.346087,128
350,2,10.1.2.2,0.347802,128
351,2,10.1.2.2,0.348284,128
352,2,10.1.2.2,0.350461,128
353,2,10.1.2.2,0.350726,128
354,2,10.1.2.2,0.352281,128
355,2,10.1.2.2,0.353493,128
356,2,10.1.2.2,0.355082,128
357,2,10.1.2.2,0.355335,128
358,2,10.1.2.2,0.356138,128
359,2,10.1.2.2,0.357446,128
360,2,10.1.2.2,0.357956,128
361,2,10.1.2.2,0.358525,128
362,2,10.1.2.2,0.35879,128
363,2,10.1.2.2,0.359043,128
364,2,10.1.2.2,0.359296,128
365,2,10.1.2.2,0.361379,128
366,2,10.1.2.2,0.36285,128
367,2,10.1.2.2,0.363221,128
368,2,10.1.2.2,0.364485,128
369,2,10.1.2.2,0.365929,128
370,2,10.1.2.2,0.366185,128
371,2,10.1.2.2,0.367377,128
372,2,10.1.2.2,0.367629,128
373,2,10.1.2.2,0.367882,128
374,2,10.1.2.2,0.36974,128
375,2,10.1.2.2,0.370874,128
376,2,10.1.2.2,0.371543,128
377,2,10.1.2.2,0.372581,128
378,2,10.1.2.2,0.37316,128
379,2,10.1.2.2,0.374071,128
380,2,10.1.2.2,0.374707,128
381,2,10.1.2.2,0.375516,128
382,2,10.1.2.2,0.375769,128
383,2,10.1.2.2,0.376362,128
384,2,10.1.2.2,0.377855,128
385,2,10.1.2.2,0.378266,128
386,2,10.1.2.2,0.378519,128
387,2,10.1.2.2,0.379378,128
388,2,10.1.2.2,0.380559,128
389,2,10.1.2.2,0.382253,128
390,2,10.1.2.2,0.384552,128
391,2,10.1.2.2,0.384993,128
392,2,10.1.2.2,0.386514,128
393,2,10.1.2.2,0.387251,128
394,2,10.1.2.2,0.388561,128
395,2,10.1.2.2,0.389094,128
396,2,10.1.2.2,0.389454,128
397,2,10.1.2.2,0.390917,128
398,2,10.1.2.2,0.39117,128
399,2,10.1.2.2,0.391528,128
400,2,10.1.2.2,0.391781,128
401,2,10.1.2.2,0.392034,128
402,2,10.1.2.2,0.392951,128
403,2,10.1.2.2,0.393518,128
404,2,10.1.2.2,0.393974,128
405,2,10.1.2.2,0.394793,128
406,2,10.1.2.2,0.395045,128
407,2,10.1.2.2,0.396304,128
408,2,10.1.2.2,0.39746,128
409,2,10.1.2.2,0.398093,128
410,2,10.1.2.2,0.399442,128
411,2,10.1.2.2,0.402619,128
412,2,10.1.2.2,0.403268,128
413,2,10.1.2.2,0.40358,128
414,2,10.1.2.2,0.404757,128
415,2,10.1.2.2,0.40519,128
416,2,10.1.2.2,0.406758,128
417,2,10.1.2.2,0.407011,128
418,2,10.1.2.2,0.407612,128
419,2,10.1.2.2,0.407865,128
420,2,10.1.2.2,0.408118,128
421,2,10.1.2.2,0.40844,128
422,2,10.1.2.2,0.409057,128
423,2,10.1.2.2,0.40943,128
424,2,10.1.2.2,0.409923,128
425,2,10.1.2.2,0.410176,128
426,2,10.1.2.2,0.410826,128
427,2,10.1.2.2,0.41228,128
428,2,10.1.2.2,0.413171,128
429,2,10.1.2.2,0.413512,128
430,2,10.1.2.2,0.413764,128
431,2,10.1.2.2,0.414573,128
432,2,10.1.2.2,0.416515,128
433,2,10.1.2.2,0.419485,128
434,2,10.1.2.2,0.420614,128
435,2,10.1.2.2,0.420867,128
436,2,10.1.2.2,0.421119,128
437,2,10.1.2.2,0.422272,128
438,2,10.1.2.2,0.423052,128
439,2,10.1.2.2,0.424619,128
440,2,10.1.2.2,0.425059,128
441,2,10.1.2.2,0.426366,128
442,2,10.1.2.2,0.426619,128
443,2,10.1.2.2,0.426926,128
444,2,10.1.2.2,0.427179,128
445,2,10.1.2.2,0.427432,128
446,2,10.1.2.2,0.428796,128
447,2,10.1.2.2,0.429048,128
448,2,10.1.2.2,0.429499,128
449,2,10.1.2.2,0.432658,128
450,2,10.1.2.2,0.432993,128
451,2,10.1.2.2,0.433526,128
452,2,10.1.2.2,0.4339,128
453,2,10.1.2.2,0.434718,128
454,2,10.1.2.2,0.436321,128
455,2,10.1.2.2,0.436865,128
456,2,10.1.2.2,0.438786,128
457,2,10.1.2.2,0.439038,128
458,2,10.1.2.2,0.439953,128
459,2,10.1.2.2,0.440206,128
460,2,10.1.2.2,0.442282,128
461,2,10.1.2.2,0.442535,128
462,2,10.1.2.2,0.443414,128
463,2,10.1.2.2,0.443667,128
464,2,10.1.2.2,0.443985,128
465,2,10.1.2.2,0.444238,128
466,2,10.1.2.2,0.444616,128
467,2,10.1.2.2,0.444903,128
468,2,10.1.2.2,0.446405,128
469,2,10.1.2.2,0.449409,128
470,2,10.1.2.2,0.451318,128
471,2,10.1.2.2,0.451597,128
472,2,10.1.2.2,0.452857,128
473,2,10.1.2.2,0.45311,128
474,2,10.1.2.2,0.453811,128
475,2,10.1.2.2,0.454098,128
476,2,10.1.2.2,0.455171,128
477,2,10.1.2.2,0.456145,128
478,2,10.1.2.2,0.465501,128
479,2,10.1.2.2,0.465754,128
480,2,10.1.2.2,0.466642,128
481,2,10.1.2.2,0.467263,128
482,2,10.1.2.2,0.467516,128
483,2,10.1.2.2,0.467768,128
484,2,10.1.2.2,0.471408,128
485,2,10.1.2.2,0.471965,128
486,2,10.1.2.2,0.472849,128
487,2,10.1.2.2,0.473102,128
488,2,10.1.2.2,0.473678,128
489,2,10.1.2.2,0.474378,128
490,2,10.1.2.2,0.475091,128
491,2,10.1.2.2,0.475343,128
492,2,10.1.2.2,0.476459,128
493,2,10.1.2.2,0.476797,128
494,2,10.1.2.2,0.478693,128
495,2,10.1.2.2,0.48,128
496,2,10.1.2.2,0.480799,128
497,2,10.1.2.2,0.481178,128
498,2,10.1.2.2,0.48143,128
499,2,10.1.2.2,0.483477,128
500,2,10.1.2.2,0.483744,128
501,2,10.1.2.2,0.484261,128
502,2,10.1.2.2,0.484569,128
503,2,10.1.2.2,0.485046,128
504,2,10.1.2.2,0.486634,128
505,2,10.1.2.2,0.488029,128
506,2,10.1.2.2,0.489304,128
507,2,10.1.2.2,0.48962,128
508,2,10.1.2.2,0.490046,128
509,2,10.1.2.2,0.49061,128
510,2,10.1.2.2,0.491138,128
511,2,10.1.2.2,0.491636,128
512,2,10.1.2.2,0.492979,128
513,2,10.1.2.2,0.49325,128
514,2,10.1.2.2,0.494153,128
515,2,10.1.2.2,0.494914,128
516,2,10.1.2.2,0.495435,128
517,2,10.1.2.2,0.496927,128
518,2,10.1.2.2,0.49718,128
519,2,10.1.2.2,0.498166,128
520,2,10.1.2.2,0.499809,128
521,2,10.1.2.2,0.500277,128
522,2,10.1.2.2,0.500538,128
523,2,10.1.2.2,0.503176,128
524,2,10.1.2.2,0.50456,128
525,2,10.1.2.2,0.50484,128
526,2,10.1.2.2,0.506951,128
527,2,10.1.2.2,0.512454,128
528,2,10.1.2.2,0.513043,128
529,2,10.1.2.2,0.514214,128
530,2,10.1.2.2,0.514512,128
531,2,10.1.2.2,0.515422,128
532,2,10.1.2.2,0.515884,128
533,2,10.1.2.2,0.516863,128
534,2,10.1.2.2,0.51743,128
535,2,10.1.2.2,0.518483,128
536,2,10.1.2.2,0.519468,128
537,2,10.1.2.2,0.520496,128
538,2,10.1.2.2,0.521795,128
539,2,10.1.2.2,0.522105,128
540,2,10.1.2.2,0.522572,128
541,2,10.1.2.2,0.523283,128
542,2,10.1.2.2,0.523759,128
543,2,10.1.2.2,0.527335,128
544,2,10.1.2.2,0.527587,128
545,2,10.1.2.2,0.528009,128
546,2,10.1.2.2,0.529392,128
547,2,10.1.2.2,0.530982,128
548,2,10.1.2.2,0.531754,128
549,2,10.1.2.2,0.532277,128
550,2,10.1.2.2,0.533265,128
551,2,10.1.2.2,0.534508,128
552,2,10.1.2.2,0.535984,128
553,2,10.1.2.2,0.536237,128
554,2,10.1.2.2,0.538212,128
555,2,10.1.2.2,0.539336,128
556,2,10.1.2.2,0.539589,128
557,2,10.1.2.2,0.540391,128
558,2,10.1.2.2,0.540644,128
559,2,10.1.2.2,0.540987,128
560,2,10.1.2.2,0.54124,128
561,2,10.1.2.2,0.543617,128
562,2,10.1.2.2,0.54387,128
563,2,10.1.2.2,0.547344,128
564,2,10.1.2.2,0.548211,128
565,2,10.1.2.2,0.549386,128
566,2,10.1.2.2,0.549638,128
567,2,10.1.2.2,0.551504,128
568,2,10.1.2.2,0.553489,128
569,2,10.1.2.2,0.554419,128
570,2,10.1.2.2,0.554699,128
571,2,10.1.2.2,0.554951,128
572,2,10.1.2.2,0.556127,128
573,2,10.1.2.2,0.55638,128
574,2,10.1.2.2,0.557141,128
575,2,10.1.2.2,0.557697,128
576,2,10.1.2.2,0.562916,128
577,2,10.1.2.2,0.563169,128
578,2,10.1.2.2,0.566807,128
579,2,10.1.2.2,0.567755,128
